uid;addressAdminUnitL1;addressAdminUnitL2;district;addressPostName;addressThoroughfareType;addressThoroughfare;addressLocatorDesignator
{04268F1F-00C9-46A9-AF72-EF5AA5DEDBF1};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;8
{C96896DB-EEAB-4D37-9B06-1CE069093D7C};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;6
{6E1C021A-57A5-4015-AEA1-710949E72DB0};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;28
{51636C21-D21F-4808-B881-BB69A6950EB5};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;25
{80585034-5D08-46A1-9D98-3EE9F3E4167E};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;1
{9FFB8F4E-D0F8-4E18-AB9A-FE4BDA6DD577};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;22
{10D95F89-FC1C-464D-B5BA-7B58E80D7F79};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;35
{82CC3A8E-43B7-471D-AD88-45F393048EF6};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;16
{CFF61C09-3F14-45CD-A7DA-1372D8988379};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;11
{83C388D4-618A-4A0B-8D99-542E0A712D17};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;72
{6CAE16A3-638D-4285-8CA9-2F2EB4833903};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;22
{83F7609E-1523-45B0-AB00-7E04F1E4046A};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;100
{8C37B0C7-5F6C-49FB-85FA-4DC26A1002DE};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;48
{EB53DF4B-59E3-4FC7-87D8-63531D9F5FE0};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;59
{1BEEF928-35BB-4CC0-8AE3-9C0218074CDD};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;25
{172A692E-AAA5-4201-9DD2-140901ABCFA3};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;10
{836CAE28-EC12-4122-9B1D-E8A849759F99};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;16
{4CD759A3-ED0D-4C4E-A060-07EC0F4839F8};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;57
{7EC48223-8EA5-483E-AAF9-AFE716908DFE};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;12
{593654CE-D8C9-4A38-96FF-C7CC07EAFD13};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;1
{E1408D00-0A85-4255-9F3D-E7BA7E2772DC};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;15
{19853FA8-0F18-4BAF-AA0D-8E7E91960C72};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;30
{31AA9893-F1DA-44E5-A562-798308B09608};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;62
{22177A83-7C07-41C2-87D0-F5FFE254ED07};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;17
{68FD5356-F8A7-4E39-813C-403A56E8B3A8};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;36
{BDCD70A8-B012-495F-BD89-AEB273EBD1CC};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;23
{940CB3E5-3D30-4A20-BF95-7D4036E2C3BD};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;84
{79467CF8-040A-473C-9369-D22D0A527CED};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;52
{6B2C69A2-3240-4EB2-9C88-74D53146C5DD};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;96
{5F481C0F-119E-437A-A66A-721919A0B827};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;21
{FB6F266C-9E3E-4C37-B994-0C172FBD28B9};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;18
{BDCDF6A9-C78D-42F0-8C61-570D007D4B1B};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;2
{FF7C698E-6370-4C18-9D4C-A10367138193};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;63
{A13704DD-CF79-4E58-A544-2A1563F22EB6};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;37
{006FBEA7-4170-4EAF-B83E-0362F8BF65BB};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;54
{7A95A3CF-4F3E-41A3-8A00-9397975C7084};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;60
{664877BD-8D4B-4406-AF77-9D24B3F103C1};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;7
{01EDDED8-55A8-4539-A709-11EA51E33D85};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;99
{044ADDD3-5DB8-4F46-9E81-A46E048544BA};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;61
{990EE307-F5D1-42AF-9517-80988EEB7829};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;81
{998B07C6-5CB1-4D24-8D6E-F9E89D7711DB};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;49
{29AD3471-CC7E-4120-A350-3443EE8188E0};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;34
{2D5528A6-5321-4A96-8CB3-2883BAACB925};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;90
{59A39675-9755-4B98-A73C-AD4472DFF6E1};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;47
{89DE7C0D-4DF5-46CB-8F66-D8799643E831};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;8
{D2741F79-72BC-460E-9066-D14FEC046B93};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;27
{4F8A7228-637A-4DE5-8441-33DEF0F070A6};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;55
{C292FAD1-5CB8-4436-9D68-C7D90D2A02AF};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;38
{1FD46066-9184-4EC2-BA47-EC31530252DE};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;66
{0D30FFEF-72A4-4A21-8F3A-516A9627E379};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;49
{86BD96FB-929E-475A-B3B7-25A1534372BC};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;87
{E2DB6974-8467-45F1-8F4E-1D3BD334738A};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;20
{B78EE650-A6C5-4B1E-82C0-3737DE060B42};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;89
{E67DDA92-665A-42E4-BAE1-AF4361B34FC3};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;53
{4692F9CA-D75A-4D0E-89CA-08B2A1105B63};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;70
{4AEA3EC5-3D43-46AF-8273-6E5894D72F2F};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;14
{0A1CE71D-BDDE-4F42-9EF0-38558059AD02};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;40
{0D802070-91FE-4494-9E2E-AF429EB7EE22};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;85
{1C0BC5EF-5E12-4D4E-BDFD-C5592C379CC2};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;95
{6357D069-D56D-4FCD-B8C0-AEDC870FEF89};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;6
{482805D4-6E9C-414A-BF57-FCE8AB51AE93};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;93
{7E5CCC34-A31F-4500-8364-95F1E935ED83};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;68
{08E1DDF9-168C-4864-AA28-4A61235FA820};Україна;місто Київ;Голосіївський;Київ;вулиця;Садова;64
{B1EC4DEB-7E24-45B1-A1BB-79480DB0A47F};Україна;місто Київ;Оболонський;Київ;провулок;Лісний;5
{532E8FD5-3203-46C4-B82D-CDEA7234DCBB};Україна;місто Київ;Дарницький;Київ;провулок;Лермонтова;26-Е
{3E3A1509-539C-400C-A716-1B08C8F71D5E};Україна;місто Київ;Солом'янський;Київ;вулиця;Вишнева;8
{D5AE565E-DE1F-413D-AF1D-5C5CFCD01C11};Україна;місто Київ;Солом'янський;Київ;вулиця;Вишнева;14
{182D2F57-A470-4F02-9B16-13F843A9EB40};Україна;місто Київ;Солом'янський;Київ;вулиця;Вишнева;4
{52F012FB-C9DB-4E34-8D1D-1BD43260C57D};Україна;місто Київ;Солом'янський;Київ;вулиця;Вишнева;6
{6F9E62DB-9E1B-4CEC-AA60-D078A5F7E878};Україна;місто Київ;Святошинський;Київ;вулиця;Оборони Києва;7
{4FE61CD1-8B3E-436F-B8D3-7A281807B859};Україна;місто Київ;Святошинський;Київ;шосе;Берестейське;65-Б
{2818683D-9B12-4BBD-B583-FDAEDC5EE386};Україна;місто Київ;Святошинський;Київ;шосе;Берестейське;16
{B084773F-6931-4F97-A66E-FDD9E394E286};Україна;місто Київ;Святошинський;Київ;шосе;Берестейське;11
{1089A6FA-7495-42A4-A208-509365B9CFBC};Україна;місто Київ;Святошинський;Київ;шосе;Берестейське;12
{0620B46B-A6F7-4D35-9632-6DB87CF1CBBE};Україна;місто Київ;Солом'янський, Голосіївський;Київ;вулиця;Колоса Сергія;2-Е
{B2DE0CCE-53D8-44CA-8766-79BF618E6763};Україна;місто Київ;Солом'янський, Голосіївський;Київ;вулиця;Колоса Сергія;59
{26A7294B-3851-4F0F-B2E9-356C37B331AC};Україна;місто Київ;Солом'янський, Голосіївський;Київ;вулиця;Колоса Сергія;59-А
{77CD3936-D7F4-45C2-B567-B553486FB37E};Україна;місто Київ;Солом'янський, Голосіївський;Київ;вулиця;Колоса Сергія;24
{4E9D981F-4869-41DD-85C2-0BC675BEF366};Україна;місто Київ;Солом'янський, Голосіївський;Київ;вулиця;Колоса Сергія;24-А
{9395FDEF-B024-41AF-B460-76212A41D376};Україна;місто Київ;Солом'янський, Голосіївський;Київ;вулиця;Колоса Сергія;66
{B2200F57-658F-43F5-A527-7B5FE84670F4};Україна;місто Київ;Солом'янський, Голосіївський;Київ;вулиця;Колоса Сергія;66-А
{CC6C56C3-9F12-4E64-B56A-E39C5640685B};Україна;місто Київ;Голосіївський , Солом'янський;Київ;вулиця;Володимира Брожка;124-А
{0F86C9F7-48F1-455D-86E9-8BE4CD06FAB8};Україна;місто Київ;Святошинський;Київ;вулиця;Олеся Бердника;1-Б
{7E630417-05BC-4A28-B9EC-A9D2305C8AE3};Україна;місто Київ;Святошинський;Київ;вулиця;Олеся Бердника;1-Ж
{2ACB719F-F7A8-4FF8-B337-4D416EC2DF17};Україна;місто Київ;Святошинський;Київ;вулиця;Олеся Бердника;1
{43402A8D-BFFE-4E00-A51C-60F2F825165B};Україна;місто Київ;Святошинський;Київ;вулиця;Олеся Бердника;1-Е
{719D248B-3EBB-4EA5-920D-66D3892BB478};Україна;місто Київ;Святошинський;Київ;вулиця;Олеся Бердника;1-Д
{BF1E1AF3-4A84-4B74-A1CC-13D8C5EA2FBC};Україна;місто Київ;Святошинський;Київ;вулиця;Олеся Бердника;1-Г
{E27513F7-6AEB-4DA3-B138-E8CB7068B41F};Україна;місто Київ;Голосіївський;Київ;вулиця;Соломії Павличко;1-А
{BD95239F-84F5-48A2-B971-A66FAD0E80EA};Україна;місто Київ;Голосіївський;Київ;вулиця;Соломії Павличко;2-А
{5105490C-DFE1-48DB-894F-D6B8A35AB75F};Україна;місто Київ;Голосіївський;Київ;бульвар;Тадея Рильського;3-А
{115B4C2D-45D2-46ED-B85C-E35EE8CEEDE9};Україна;місто Київ;Голосіївський;Київ;бульвар;Тадея Рильського;1
{D4BD05AF-FD3B-4846-AD3A-A0FF38F0A225};Україна;місто Київ;Голосіївський;Київ;бульвар;Тадея Рильського;4
{00412422-F103-43A3-AD82-738816DD9EA6};Україна;місто Київ;Голосіївський;Київ;бульвар;Тадея Рильського;5-А
{81BB8EEC-71BF-42A5-9966-CB4383DD31F2};Україна;місто Київ;Голосіївський;Київ;бульвар;Тадея Рильського;3
{1C227C39-0DD0-4D62-AD56-3BED1FF60A67};Україна;місто Київ;Голосіївський;Київ;бульвар;Тадея Рильського;5
{8169AB28-982F-4ED9-B12E-75C027150439};Україна;місто Київ;Солом'янський;Київ;вулиця;Сергія Шишка;26
{B5772638-7085-49A0-BD18-FC5BE38CF2CD};Україна;місто Київ;Дніпровський;Київ;вулиця;Юрія Липи;6
{E8EC5D3F-106C-436D-B6F1-2247F432D90C};Україна;місто Київ;Дніпровський;Київ;вулиця;Юрія Липи;6-Б
{F71AAA0F-7529-4E71-ACCD-77192A745411};Україна;місто Київ;Дніпровський;Київ;вулиця;Юрія Липи;6-А
{FE6B09E9-EE48-4363-9A60-4A328E1E3718};Україна;місто Київ;Оболонський;Київ;вулиця;Аманда Струве;5
{74AC085A-6B71-421D-A922-3AB3B59FD9E3};Україна;місто Київ;Голосіївський;Київ;вулиця;Бориса Мозолевського;5-В
{028BDE4F-C56A-4ED2-8B74-9F77E514CFCF};Україна;місто Київ;Деснянський;Київ;вулиця;Євгена Плужника;26-Г
{3C6470B9-AEA4-4992-8180-BC185ECE1DB9};Україна;місто Київ;Деснянський;Київ;вулиця;Євгена Плужника;3
{9000A2CF-FF66-448F-93C3-22AFF3AACF28};Україна;місто Київ;Деснянський;Київ;вулиця;Роберта Конквеста;22
{01A0685F-1D2C-463F-9157-7A5CE714FD3A};Україна;місто Київ;Деснянський;Київ;вулиця;Роберта Конквеста;30
{F71FDECF-0968-4DB4-A9BC-34324731F5BD};Україна;місто Київ;Деснянський;Київ;вулиця;Роберта Конквеста;26
{8CC4D3DF-C127-4EA9-AD6E-83CB4E1A79D6};Україна;місто Київ;Деснянський;Київ;вулиця;Роберта Конквеста;38
{DBB885D8-C349-42A6-AB39-6793C8C14389};Україна;місто Київ;Деснянський;Київ;вулиця;Роберта Конквеста;22-А
{FF57A441-8C2B-4F31-9E31-076B40A6A98A};Україна;місто Київ;Деснянський;Київ;вулиця;Роберта Конквеста;20
{3676825E-FA4D-454D-B75F-2FA30561AB83};Україна;місто Київ;Деснянський;Київ;вулиця;Роберта Конквеста;24
{586F0C1D-7038-4B6C-93E5-1865686E8580};Україна;місто Київ;Деснянський;Київ;вулиця;Роберта Конквеста;24-А
{EFEDB70D-E6E1-433C-8975-929E26B76995};Україна;місто Київ;Святошинський;Київ;вулиця;Оборони Києва;7
{4C1033AE-E414-4BD1-8279-241BD243717A};Україна;місто Київ;Святошинський;Київ;вулиця;Оборони Києва;12
{55D67418-1BF3-4B3E-8E86-77B3324A5459};Україна;місто Київ;Святошинський;Київ;вулиця;Оборони Києва;16
{D8E82C11-4297-4F96-AECD-5F35056369D8};Україна;місто Київ;Святошинський;Київ;вулиця;Оборони Києва;17
{0F0EDD13-76E4-47D9-80D8-7205D85AA51C};Україна;місто Київ;Святошинський;Київ;вулиця;Оборони Києва;5
{884A38E1-2286-4564-8221-D9AF713D6E51};Україна;місто Київ;Святошинський;Київ;вулиця;Оборони Києва;9-Б
{0EEEC56E-ACFC-43E9-BE20-C3D8E925A6BB};Україна;місто Київ;Святошинський;Київ;вулиця;Оборони Києва;9
{1006E5F5-D810-48B1-8A5D-29B68A3C3BE8};Україна;місто Київ;Святошинський;Київ;вулиця;Оборони Києва;8
{6A100098-3996-42E0-B4D2-D84847EAF344};Україна;місто Київ;Святошинський;Київ;вулиця;Оборони Києва;6
{4FDC187A-CA8E-4876-9C54-FEC1457091B7};Україна;місто Київ;Печерський;Київ;вулиця;Кахи Бендукідзе;2
{6A26FD72-57A3-4760-85FD-9FE64E4E566F};Україна;місто Київ;Голосіївський;Київ;вулиця;Андрія Меленського;2-А
{FA07938F-6C09-443E-86B7-09452700AC2E};Україна;місто Київ;Голосіївський;Київ;вулиця;Андрія Меленського;13
{398FE77F-9A5D-4AB5-AF25-1569CDC6062F};Україна;місто Київ;Голосіївський;Київ;вулиця;Андрія Меленського;19
{61AAFAC5-EB7E-4AD0-A998-ADC1D004031F};Україна;місто Київ;Голосіївський;Київ;вулиця;Князя Вітовта;1
{F738D62C-DDC7-4EBD-8DBB-8F5A084DFCEF};Україна;місто Київ;Голосіївський;Київ;вулиця;Михайла Петренка;18
{877482E4-E629-4EAC-9C2C-5FB91C5B4894};Україна;місто Київ;Голосіївський;Київ;вулиця;Валентина Отамановського;7
{CD7517F3-D5E8-49F2-9E79-EFE4B654717B};Україна;місто Київ;Голосіївський;Київ;вулиця;Архітектора Дяченка;16-А
{F32606D1-FE1B-4B3D-A515-B904376C46E5};Україна;місто Київ;Голосіївський;Київ;вулиця;Архітектора Дяченка;14-А
{095ACE34-4552-463D-A405-056A43672164};Україна;місто Київ;Голосіївський;Київ;вулиця;Архітектора Дяченка;12-А
{DDEEF074-F228-47C7-8015-8FCFA356B933};Україна;місто Київ;Голосіївський;Київ;вулиця;Архітектора Дяченка;10-А
{83C64A00-D8A3-4397-A502-BEE3D5B09CE9};Україна;місто Київ;Голосіївський;Київ;вулиця;Архітектора Дяченка;8-А
{160F9F96-933E-40F0-9E05-531F6C07C5B2};Україна;місто Київ;Голосіївський;Київ;вулиця;Архітектора Дяченка;6-А
{1D5512F0-BEAD-4F97-BB4E-BE552A34A6A2};Україна;місто Київ;Голосіївський;Київ;вулиця;Архітектора Дяченка;4-А
{98181108-0B0E-4F94-AD02-D620D0AA195E};Україна;місто Київ;Голосіївський;Київ;вулиця;Архітектора Дяченка;2-А
{24EE6859-1EAD-461D-BB79-AB3AFDC5FAF0};Україна;місто Київ;Голосіївський;Київ;вулиця;Архітектора Дяченка;16-Б
{7750E22F-FE2F-42EC-9C76-1556954D7BA2};Україна;місто Київ;Голосіївський;Київ;вулиця;Архітектора Дяченка;14-Б
{E8B34FE3-D566-4CEE-AB78-C0BD6812A648};Україна;місто Київ;Голосіївський;Київ;вулиця;Архітектора Дяченка;12-Б
{AF534249-D86E-4357-97F0-4DDB2631CB88};Україна;місто Київ;Голосіївський;Київ;вулиця;Архітектора Дяченка;2-Б
{6D412C0F-41F1-4FB7-A3B9-9EC2D0F86625};Україна;місто Київ;Голосіївський;Київ;вулиця;Братів Шеметів;7-А
{5A755D69-3899-4CD4-9269-D6BD2D8C5CAC};Україна;місто Київ;Голосіївський;Київ;вулиця;Братів Шеметів;10/8
{A87476C9-B475-43B8-85F0-228B42F530AB};Україна;місто Київ;Голосіївський;Київ;вулиця;Братів Шеметів;5-А
{ADEFF405-231D-48B7-9CEB-C601D793C133};Україна;місто Київ;Голосіївський;Київ;вулиця;Братів Шеметів;9
{2AE81DF0-A4EF-4CCA-852B-6DEF5A76354B};Україна;місто Київ;Голосіївський;Київ;вулиця;Братів Шеметів;8
{9F35E99F-A818-4B7E-9D14-EACADC685253};Україна;місто Київ;Голосіївський;Київ;вулиця;Братів Шеметів;6-А
{BBC17CCD-2D5B-4D43-9D20-CC93DF97FF63};Україна;місто Київ;Голосіївський;Київ;вулиця;Родини Кістяківських;9-А
{F9E541C4-EE89-4283-95B4-B892E53683AB};Україна;місто Київ;Голосіївський;Київ;вулиця;Родини Кістяківських;1
{7177D9F0-48D7-4166-8615-56BDC2140225};Україна;місто Київ;Голосіївський;Київ;вулиця;Родини Кістяківських;7-А
{9E8179ED-E53C-4CCB-A94D-7C0751516C27};Україна;місто Київ;Голосіївський;Київ;вулиця;Родини Кістяківських;10-А
{E29A6221-BD98-4537-AC7E-DECDCBF35200};Україна;місто Київ;Голосіївський;Київ;вулиця;Родини Кістяківських;12-А
{CF8CE0B1-0B55-4B83-ACDB-D0B179DCD5F3};Україна;місто Київ;Голосіївський;Київ;вулиця;Родини Кістяківських;2-Б
{BA954807-26C2-4A2F-89E6-EBB39B5AF193};Україна;місто Київ;Голосіївський;Київ;вулиця;Родини Кістяківських;8-А
{0F4086FC-DCA0-4D2A-B8E4-93C96AD27CAF};Україна;місто Київ;Голосіївський;Київ;вулиця;Родини Кістяківських;10
{7B4E7931-66DE-451A-B048-0DFDC20CBDB2};Україна;місто Київ;Голосіївський;Київ;вулиця;Родини Кістяківських;4
{88A4B4AB-0D67-4675-A5CB-B9E1C063FF4F};Україна;місто Київ;Голосіївський;Київ;вулиця;Родини Кістяківських;2-Б
{26FEAFA2-4F9A-44D5-A066-4F07C47E0ADA};Україна;місто Київ;Голосіївський;Київ;вулиця;Родини Кістяківських;6
{473B73A6-FBE0-4DBB-8903-94E2F8F6F341};Україна;місто Київ;Голосіївський;Київ;вулиця;Родини Кістяківських;2-А
{B09234C5-551F-490B-9EF2-BC654804FF5D};Україна;місто Київ;Голосіївський;Київ;вулиця;Родини Кістяківських;2
{E590DC68-F5C1-4AC1-996D-1398CF3C3EF6};Україна;місто Київ;Голосіївський;Київ;вулиця;Сім'ї Холодних;9-А
{EA11F2FC-3DF1-476A-A4E3-51EF80E83A5E};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;20-Б
{C659A077-0667-47D4-9331-64D45F8637CC};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;20-А
{60D4A3C2-0A31-4380-9C92-2E5EFB380818};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;20
{6360AC53-C23C-4E35-8FEE-A61A7B6DB205};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;20-В
{2BF13406-5148-48E1-9479-9D9C76B6DBE5};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;18/6
{B74BCE65-EBD4-4323-AE77-A3424A5C45D5};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;6-А
{F811531E-C8CD-4648-B34F-1AB925A112B7};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;6
{68BEF071-BECB-43D7-8FEA-C092D706C776};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;4
{98DDCB26-7493-4A97-9E2D-F842895533E6};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;2-А
{DDDDB03B-8651-4128-B3A2-0E9194BA4BF8};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;2
{61ECD4E5-87C5-4178-8DC4-01CAE8C482A2};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;20-Е
{69F4A0C7-B2DB-4DB8-95FD-463C5BCF65AF};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;20-Д
{41A938F1-FD75-48D4-BF49-C8DE47F74AA6};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;20-Г
{17CB0DF4-6197-4766-8BCB-839618D4768F};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;16
{B7D8AEEB-A423-4AD3-9B10-5B44EBD67494};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;14
{43D3C838-BA98-4770-8CD2-A15BE3DE91CA};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;16-А
{F97AF20C-EDD3-4C86-8CD9-A17E4339D599};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;14-А
{51D204C0-8F88-4C08-8287-4831FDE527E4};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;14-Б
{A8989428-5362-4DFC-9061-28A811381213};Україна;місто Київ;Подільський;Київ;вулиця;Родини Крістерів;14-В
{A7DA74A6-534D-4614-B73F-D89CF87D99F3};Україна;місто Київ;Подільський;Київ;вулиця;Генерала Грекова;2
{8C8B8624-0A8E-4446-8B86-75D7183D10AE};Україна;місто Київ;Подільський;Київ;вулиця;Генерала Грекова;4-А
{5DC14365-8982-4935-ADBD-83C0E29E467C};Україна;місто Київ;Подільський;Київ;вулиця;Генерала Грекова;4
{443EC1D2-AC6D-40F5-8381-812B51899793};Україна;місто Київ;Подільський;Київ;вулиця;Олександра Олеся;4-Г
{7AEEFBA2-4E48-4725-BD63-4104010795A2};Україна;місто Київ;Подільський;Київ;вулиця;Олександра Олеся;25
{35917362-FBDF-4D7E-B6BA-7C7E91B2C6CA};Україна;місто Київ;Подільський;Київ;вулиця;Олександра Олеся;4
{9B149AAD-F4F3-4D63-9941-96DE903C5EEA};Україна;місто Київ;Подільський;Київ;вулиця;Олександра Олеся;13
{4D2B2B56-D31E-4234-9C02-A23937B3D111};Україна;місто Київ;Подільський;Київ;вулиця;Олександра Олеся;4-Б
{9D3B6AC9-2B3C-4FC0-9E63-A4114F06A343};Україна;місто Київ;Подільський;Київ;вулиця;Олександра Олеся;4-А
{1FEBABAF-5DA3-4F74-BB90-D67382B2E893};Україна;місто Київ;Подільський;Київ;вулиця;Олександра Олеся;6-В
{682527D1-76B3-4CE5-A4DD-BB44757BAD87};Україна;місто Київ;Подільський;Київ;вулиця;Олександра Олеся;6-А
{6D4D99F9-A9A9-40D0-A308-3B6A6A769788};Україна;місто Київ;Подільський;Київ;вулиця;Олександра Олеся;6-Б
{CE39BAA2-6363-4864-B883-BE7BE38FA3C4};Україна;місто Київ;Подільський;Київ;вулиця;Олександра Олеся;8-Б
{E0BD7474-9E4B-4D10-903E-E6932C54B80B};Україна;місто Київ;Подільський;Київ;вулиця;Олександра Олеся;8-А
{1DCD6A8A-2482-43DB-98D5-5E6129628713};Україна;місто Київ;Подільський;Київ;вулиця;Олександра Олеся;10-А
{55C8D28A-860F-41D1-AFC6-99A81829ED98};Україна;місто Київ;Подільський;Київ;вулиця;Олександра Олеся;10
{EC8114FF-A64B-470B-8056-D443DF3DED75};Україна;місто Київ;Подільський;Київ;вулиця;Олександра Олеся;8/17
{1A87076D-FAB9-4633-8981-B396CDD30617};Україна;місто Київ;Подільський;Київ;вулиця;Олександра Олеся;2
